peak_index,original_peak,drawn_peak,factor
32524,1.0,0.5283444460207125,0.5283444460207125
32597,-1.0,-0.42558703226783834,0.42558703226783834
32671,1.0,0.5283444460207125,0.5283444460207125
32744,-1.0,-0.42558703226783834,0.42558703226783834
32818,1.0,0.5283444460207125,0.5283444460207125
32891,-1.0,-0.42558703226783834,0.42558703226783834
32965,1.0,0.5283444460207125,0.5283444460207125
33038,-1.0,-0.42558703226783834,0.42558703226783834
33112,1.0,0.5283444460207125,0.5283444460207125
33185,-1.0,-0.42558703226783834,0.42558703226783834
33259,1.0,0.5283444460207125,0.5283444460207125
33332,-1.0,-0.42558703226783834,0.42558703226783834
33406,1.0,0.5283444460207125,0.5283444460207125
33479,-1.0,-0.42558703226783834,0.42558703226783834
33553,1.0,0.5283444460207125,0.5283444460207125
33626,-1.0,-0.42558703226783834,0.42558703226783834
33700,1.0,0.5283444460207125,0.5283444460207125
33773,-1.0,-0.42558703226783834,0.42558703226783834
33847,1.0,0.5283444460207125,0.5283444460207125
33920,-1.0,-0.42558703226783834,0.42558703226783834
33994,1.0,0.5283444460207125,0.5283444460207125
34067,-1.0,-0.42558703226783834,0.42558703226783834
34141,1.0,0.5283444460207125,0.5283444460207125
34214,-1.0,-0.42558703226783834,0.42558703226783834
34288,1.0,0.5283444460207125,0.5283444460207125
34361,-1.0,-0.42558703226783834,0.42558703226783834
34435,1.0,0.5283444460207125,0.5283444460207125
34508,-1.0,-0.42558703226783834,0.42558703226783834
34582,1.0,0.5283444460207125,0.5283444460207125
34655,-1.0,-0.42558703226783834,0.42558703226783834
34729,1.0,0.5283444460207125,0.5283444460207125
34802,-1.0,-0.42558703226783834,0.42558703226783834
34876,1.0,0.5283444460207125,0.5283444460207125
34949,-1.0,-0.42558703226783834,0.42558703226783834
35023,1.0,0.5283444460207125,0.5283444460207125
35096,-1.0,-0.42558703226783834,0.42558703226783834
35170,1.0,0.5283444460207125,0.5283444460207125
35243,-1.0,-0.42558703226783834,0.42558703226783834
35317,1.0,0.5283444460207125,0.5283444460207125
35390,-1.0,-0.42558703226783834,0.42558703226783834
35464,1.0,0.5283444460207125,0.5283444460207125
35537,-1.0,-0.42558703226783834,0.42558703226783834
35611,1.0,0.5283444460207125,0.5283444460207125
35684,-1.0,-0.42558703226783834,0.42558703226783834
35758,1.0,0.5283444460207125,0.5283444460207125
35831,-1.0,-0.42558703226783834,0.42558703226783834
35905,1.0,0.5283444460207125,0.5283444460207125
35978,-1.0,-0.42558703226783834,0.42558703226783834
36052,1.0,0.5283444460207125,0.5283444460207125
36125,-1.0,-0.42558703226783834,0.42558703226783834
36199,1.0,0.5283444460207125,0.5283444460207125
36272,-1.0,-0.42558703226783834,0.42558703226783834
36346,1.0,0.5283444460207125,0.5283444460207125
36419,-1.0,-0.42558703226783834,0.42558703226783834
36493,1.0,0.5283444460207125,0.5283444460207125
36566,-1.0,-0.42558703226783834,0.42558703226783834
36640,1.0,0.5283444460207125,0.5283444460207125
36713,-1.0,-0.42558703226783834,0.42558703226783834
36787,1.0,0.5283444460207125,0.5283444460207125
36860,-1.0,-0.42558703226783834,0.42558703226783834
36934,1.0,0.5283444460207125,0.5283444460207125
37007,-1.0,-0.42630842368760874,0.42630842368760874
37081,1.0,0.5283444460207125,0.5283444460207125
37154,-1.0,-0.4276339804214369,0.4276339804214369
37228,1.0,0.5283444460207125,0.5283444460207125
37301,-1.0,-0.4289595371552651,0.4289595371552651
37375,1.0,0.5283444460207125,0.5283444460207125
37448,-1.0,-0.4302850938890932,0.4302850938890932
37522,1.0,0.5283444460207125,0.5283444460207125
37595,-1.0,-0.43161065062292137,0.43161065062292137
37669,1.0,0.5283444460207125,0.5283444460207125
37742,-1.0,-0.43293620735674954,0.43293620735674954
37816,1.0,0.5283444460207125,0.5283444460207125
37889,-1.0,-0.43426176409057765,0.43426176409057765
37963,1.0,0.5283444460207125,0.5283444460207125
38036,-1.0,-0.4357826397241744,0.4357826397241744
38110,1.0,0.5283444460207125,0.5283444460207125
38183,-1.0,-0.437392472480438,0.437392472480438
38257,1.0,0.5283444460207125,0.5283444460207125
38330,-1.0,-0.4390023052367016,0.4390023052367016
38404,1.0,0.5282642716503653,0.5282642716503653
38477,-1.0,-0.44061213799296517,0.44061213799296517
38551,1.0,0.5262999995768579,0.5262999995768579
38624,-1.0,-0.44222197074922875,0.44222197074922875
38698,1.0,0.5243357275033504,0.5243357275033504
38771,-1.0,-0.443766096046053,0.443766096046053
38845,1.0,0.5223714554298431,0.5223714554298431
38918,-1.0,-0.443766096046053,0.443766096046053
38992,1.0,0.5204071833563357,0.5204071833563357
39065,-1.0,-0.443766096046053,0.443766096046053
39139,1.0,0.5198326003688472,0.5198326003688472
39212,-1.0,-0.443766096046053,0.443766096046053
39286,1.0,0.5198326003688472,0.5198326003688472
39359,-1.0,-0.445204387732786,0.445204387732786
39433,1.0,0.5198326003688472,0.5198326003688472
39506,-1.0,-0.44867043491229014,0.44867043491229014
39580,1.0,0.5198326003688472,0.5198326003688472
39653,-1.0,-0.45213648209179425,0.45213648209179425
39727,1.0,0.5178847485425582,0.5178847485425582
39800,-1.0,-0.4556025292712984,0.4556025292712984
39874,1.0,0.5159235552654042,0.5159235552654042
39947,-1.0,-0.4590685764508025,0.4590685764508025
40021,1.0,0.5139623619882504,0.5139623619882504
40094,-1.0,-0.46229368482001654,0.46229368482001654
40168,1.0,0.5120011687110965,0.5120011687110965
40241,-1.0,-0.46434301179501486,0.46434301179501486
40315,1.0,0.5100379647914259,0.5100379647914259
40388,-1.0,-0.4663923387700132,0.4663923387700132
40462,1.0,0.5080736927179186,0.5080736927179186
40535,-1.0,-0.4684416657450115,0.4684416657450115
40609,1.0,0.5061094206444112,0.5061094206444112
40682,-1.0,-0.4704909927200098,0.4704909927200098
40756,1.0,0.5041451485709038,0.5041451485709038
40829,-1.0,-0.47103469171337675,0.47103469171337675
40903,1.0,0.5018319695153297,0.5018319695153297
40976,-1.0,-0.47103469171337675,0.47103469171337675
41050,1.0,0.49877643517876263,0.49877643517876263
41123,-1.0,-0.47103469171337675,0.47103469171337675
41197,1.0,0.4957209008421956,0.4957209008421956
41270,-1.0,-0.47103469171337675,0.47103469171337675
41344,1.0,0.49266536650562853,0.49266536650562853
41417,-1.0,-0.47103469171337675,0.47103469171337675
41491,1.0,0.4896098321690615,0.4896098321690615
41564,-1.0,-0.47103469171337675,0.47103469171337675
41638,1.0,0.48655429783249443,0.48655429783249443
41711,-1.0,-0.47103469171337675,0.47103469171337675
41785,1.0,0.4857852177613857,0.4857852177613857
41858,-1.0,-0.47103469171337675,0.47103469171337675
41932,1.0,0.4857852177613857,0.4857852177613857
42005,-1.0,-0.47103469171337675,0.47103469171337675
42079,1.0,0.4837585878442747,0.4837585878442747
42152,-1.0,-0.47103469171337675,0.47103469171337675
42226,1.0,0.4814669370918492,0.4814669370918492
42299,-1.0,-0.47103469171337675,0.47103469171337675
42373,1.0,0.47917528633942363,0.47917528633942363
42446,-1.0,-0.47103469171337675,0.47103469171337675
42520,1.0,0.4766887673257375,0.4766887673257375
42593,-1.0,-0.47103469171337675,0.47103469171337675
42667,1.0,0.4732512911970996,0.4732512911970996
42740,-1.0,-0.47103469171337675,0.47103469171337675
42814,1.0,0.46981381506846165,0.46981381506846165
42887,-1.0,-0.47103469171337675,0.47103469171337675
42961,1.0,0.4687615264576541,0.4687615264576541
43034,-1.0,-0.47103469171337675,0.47103469171337675
43108,1.0,0.4687615264576541,0.4687615264576541
43181,-1.0,-0.47103469171337675,0.47103469171337675
43255,1.0,0.4687615264576541,0.4687615264576541
43328,-1.0,-0.47103469171337675,0.47103469171337675
43402,1.0,0.4687615264576541,0.4687615264576541
43475,-1.0,-0.47103469171337675,0.47103469171337675
43549,1.0,0.4653988220025962,0.4653988220025962
43622,-1.0,-0.47103469171337675,0.47103469171337675
43696,1.0,0.46196606120472455,0.46196606120472455
43769,-1.0,-0.47103469171337675,0.47103469171337675
43843,1.0,0.458533300406853,0.458533300406853
43916,-1.0,-0.47103469171337675,0.47103469171337675
43990,1.0,0.45510053960898134,0.45510053960898134
44063,-1.0,-0.47103469171337675,0.47103469171337675
44137,1.0,0.4517378351539234,0.4517378351539234
44210,-1.0,-0.47103469171337675,0.47103469171337675
44284,1.0,0.4517378351539234,0.4517378351539234
44357,-1.0,-0.47103469171337675,0.47103469171337675
44431,1.0,0.4517378351539234,0.4517378351539234
44504,-1.0,-0.47103469171337675,0.47103469171337675
44578,1.0,0.4517378351539234,0.4517378351539234
44651,-1.0,-0.47103469171337675,0.47103469171337675
44725,1.0,0.4517378351539234,0.4517378351539234
44798,-1.0,-0.47103469171337675,0.47103469171337675
44872,1.0,0.4517378351539234,0.4517378351539234
44945,-1.0,-0.47103469171337675,0.47103469171337675
45019,1.0,0.4517378351539234,0.4517378351539234
45092,-1.0,-0.47103469171337675,0.47103469171337675
