peak_index,original_peak,drawn_peak,factor
2200,-7.654974968231854e-05,0.0,-0.0
2201,-0.0004286785982209838,0.0,-0.0
2202,7.654974968231854e-05,0.0,0.0
2203,-0.0001530994993646371,0.0,-0.0
2205,0.00026026914891988303,0.0,0.0
2207,-0.000627707947395012,0.0,-0.0
2208,0.0006736377972044031,0.0,0.0
2211,-0.015294639986527244,0.0,-0.0
2212,-0.012355129598726212,0.0,-0.0
2216,-0.016703155380681903,0.0,-0.0
2217,-0.01564676883506591,0.0,-0.0
2219,-0.017728922026424974,0.0,-0.0
2220,-0.016626605630999585,0.0,-0.0
2222,-0.01834132002388352,0.0,-0.0
2223,-0.017943261325535465,0.0,-0.0
2225,-0.018157600624645956,0.0,-0.0
2226,-0.017851401625916682,0.0,-0.0
2227,-0.017943261325535465,0.0,-0.0
2233,-0.01491189123811565,0.0,-0.0
2234,-0.015539599185510664,0.0,-0.0
2237,-0.01491189123811565,0.0,-0.0
2238,-0.015064990737480289,0.0,-0.0
2247,-0.009905537608892019,0.0,-0.0
2248,-0.010502625656414103,0.0,-0.0
2252,-0.005940260575347919,0.0,-0.0
2254,-0.006797617771789886,0.0,-0.0
2258,-0.004393955631765084,0.0,-0.0
2260,-0.005787161075983281,0.0,-0.0
2261,-0.00532786257788937,0.0,-0.0
2264,-0.0068129277217263496,0.0,-0.0
2265,-0.006215839674204265,0.0,-0.0
2268,-0.007593735168485999,0.0,-0.0
2271,-0.006904787421345132,0.0,-0.0
2273,-0.007731524717914173,0.0,-0.0
2275,-0.006384249123505366,0.0,-0.0
2277,-0.007746834667850636,0.0,-0.0
2282,-0.004118376532908737,0.0,-0.0
2284,-0.006506728722997076,0.0,-0.0
2286,-0.003720317834560681,0.0,-0.0
2288,-0.004700154630494358,0.0,-0.0
2289,-0.0043633357318921566,0.0,-0.0
2295,-0.00887977096314895,0.0,-0.0
2297,-0.0053737924276987615,0.0,-0.0
2298,-0.005955570525284382,0.0,-0.0
2311,0.005419722277508153,0.0,0.0
2325,-0.008114273466325764,0.0,-0.0
2326,-0.0075631152686130715,0.0,-0.0
2328,-0.008160203316135156,0.0,-0.0
2331,-0.0075631152686130715,0.0,-0.0
2333,-0.008971630662767733,0.0,-0.0
2334,-0.00863481176416553,0.0,-0.0
2336,-0.009767748059463845,0.0,-0.0
2338,-0.008206133165944547,0.0,-0.0
2339,-0.00875729136365724,0.0,-0.0
2340,-0.008619501814229068,0.0,-0.0
2342,-0.008864461013212487,0.0,-0.0
2364,0.014483212639894667,0.0,0.0
2366,0.0137942648927538,0.0,0.0
2367,0.014728171838878087,0.0,0.0
2370,0.012064240549933401,0.0,0.0
2372,0.013396206194405744,0.0,0.0
2376,0.011497772402284244,0.0,0.0
2377,0.011513082352220708,0.0,0.0
2379,0.007440635669121362,0.0,0.0
2380,0.008022413766706983,0.0,0.0
2388,0.00177595419262979,0.0,0.0
2389,0.0020821531913590642,0.0,0.0
2392,0.0009798367959336772,0.0,0.0
2398,0.005251312828207052,0.0,0.0
2399,0.005236002878270588,0.0,0.0
2401,0.007287536169756725,0.0,0.0
2403,0.006123979974585483,0.0,0.0
2405,0.00805303366657991,0.0,0.0
2407,0.006292389423886584,0.0,0.0
2414,0.011880521150695838,0.0,0.0
2415,0.01184990125082291,0.0,0.0
2421,0.01763706232680619,0.0,0.0
2423,0.016779705130364225,0.0,0.0
2425,0.01774423197636144,0.0,0.0
2426,0.016994044429474716,0.0,0.0
2429,0.01970390556822879,0.0,0.0
2430,0.01945894636924537,0.0,0.0
2431,0.019627355818546473,0.0,0.0
2439,0.012477609198217922,0.0,0.0
2440,0.012814428096820124,0.0,0.0
2442,0.011268123153237289,0.0,0.0
2444,0.01296752759618476,0.0,0.0
2446,0.012094860449806328,0.0,0.0
2448,0.012569468897836705,0.0,0.0
2450,0.010839444555016306,0.0,0.0
2451,0.011405912702665463,0.0,0.0
2453,0.010747584855397523,0.0,0.0
2454,0.011115023653872652,0.0,0.0
2456,0.009813677909273236,0.0,0.0
2459,0.0118958311006323,0.0,0.0
2461,0.010640415205842278,0.0,0.0
2462,0.01077820475527045,0.0,0.0
2463,0.010594485356032886,0.0,0.0
2466,0.012156100249552184,0.0,0.0
2467,0.01197238085031462,0.0,0.0
2479,0.02245969655679226,0.0,0.0
2483,0.020622502564416615,0.0,0.0
2484,0.022031017958571274,0.0,0.0
2499,0.011115023653872652,0.0,0.0
2501,0.012753188297074268,0.0,0.0
2504,0.009507478910543963,0.0,0.0
2506,0.010119876908002512,0.0,0.0
2508,0.007777454567723564,0.0,0.0
2510,0.008083653566452837,0.0,0.0
2511,0.007333466019566116,0.0,0.0
2513,0.008405162515118575,0.0,0.0
2515,0.005909640675474991,0.0,0.0
2517,0.01007394705819312,0.0,0.0
2519,0.009905537608892019,0.0,0.0
2527,0.01589172803404933,0.0,0.0
2528,0.014590382289449913,0.0,0.0
2530,0.015708008634811765,0.0,0.0
2531,0.014881271338242723,0.0,0.0
2533,0.016580675781190195,0.0,0.0
2535,0.013840194742563192,0.0,0.0
2537,0.01515685043709907,0.0,0.0
2538,0.015080300687416752,0.0,0.0
